Taxon,Chromosome count,Ploidy inference,Phylogeny robustness score,Simulation reliability score,Combined score
Indigofera_homblei,x,0,1,0.97,0.985
Indigofera_heudelotii,x,0,1,0.99,0.995
Indigofera_bojeri,x,0,1,0.98,0.99
Indigofera_pratensis,x,0,0.78,0.96,0.87
Indigofera_phymatodea,x,0,0.78,0.94,0.86
Indigofera_macrocalyx,6,0,1,1,1
Indigofera_cuernavacana,x,0,1,0.97,0.985
Indigofera_leptocarpa,x,0,1,0.95,0.975
Indigofera_emarginella,12,1,1,1,1
Indigofera_pulchra,8,0,1,1,1
Indigofera_laxiracemosa,8,0,1,1,1
Indigofera_ionii,x,0,0.94,0.95,0.945
Indigofera_blanchetiana,x,0,1,0.99,0.995
Indigofera_gypsacea,x,0,1,0.98,0.99
Indigofera_uniflora,8,0,1,1,1
Indigofera_quarrei,x,0,1,1,1
Indigofera_cavallii,x,0,1,0.99,0.995
Indigofera_congesta,x,0,1,0.99,0.995
Indigofera_angulosa,16,1,1,1,1
Indigofera_cuneifolia,x,0,0.93,0.94,0.935
Indigofera_daleoides,x,0,0.95,0.98,0.965
Indigofera_sessilifolia,x,0,1,0.97,0.985
Indigofera_cordifolia,8,0,1,1,1
Indigofera_cytisoides,x,0,0.94,0.94,0.94
Indigofera_longibarbata,x,0,0.94,0.96,0.95
Indigofera_depressa,x,0,0.95,0.94,0.945
Indigofera_wituensis,x,0,0.98,1,0.99
Indigofera_meyeriana,x,0,0.93,0.94,0.935
Indigofera_linifolia,8,0,1,1,1
Indigofera_zollingeriana,8,0,1,1,1
Indigofera_swaziensis,8,0,1,1,1
Indigofera_aspera,8,0,1,1,1
Indigofera_mimosoides,x,0,0.76,0.99,0.875
Indigofera_tetrasperma,x,0,1,1,1
Indigofera_tanganyikensis,8,0,1,1,1
Indigofera_heterotricha,x,0,1,0.94,0.97
Indigofera_bemarahaensis,x,NA,0.78,0.94,0.86
Indigofera_varia,x,0,1,0.92,0.96
Indigofera_trifoliata,8,0,1,1,1
Indigofera_frondosa,x,0,1,0.98,0.99
Indigofera_drepanocarpa,8,0,1,1,1
Indigofera_filicaulis,x,0,0.94,0.95,0.945
Indigofera_conzattii,x,0,1,0.96,0.98
Indigofera_conjugata,x,0,1,0.96,0.98
Indigofera_australis,8,0,1,1,1
Indigofera_candolleana,x,0,0.93,0.93,0.93
Indigofera_pseudotinctoria,8,0,1,1,1
Indigofera_karnatakana,8,0,1,1,1
Indigofera_alpina,x,0,0.93,0.93,0.93
Indigofera_mangokyensis,x,0,1,0.96,0.98
Indigofera_natalensis,x,0,0.69,0.94,0.815
Indigofera_diversifolia,x,0,0.58,0.98,0.78
Indigofera_ixocarpa,x,0,1,0.96,0.98
Indigofera_hiranensis,x,0,0.58,0.97,0.775
Indigofera_miniata,x,0,1,0.98,0.99
Indigofera_astragalina,8,0,1,1,1
Indigofera_jucunda,x,0,0.92,0.96,0.94
Indigofera_diphylla,8,0,1,1,1
Indigofera_leucoclada,x,NA,0.77,0.93,0.85
Indigofera_simplicifolia,x,1,0.73,0.92,0.825
Indigofera_boviperda,x,0,1,0.98,0.99
Indigofera_inhambanensis,x,0,1,0.95,0.975
Indigofera_semitrijuga,8,0,1,1,1
Indigofera_marmorata,x,0,1,0.99,0.995
Indigofera_filifolia,x,0,0.94,0.94,0.94
Indigofera_angustata,x,0,0.94,0.94,0.94
Indigofera_guaranitica,8,0,1,1,1
Indigofera_capillaris,x,0,0.93,0.95,0.94
Indigofera_sootepensis,x,0,1,0.95,0.975
Indigofera_omissa,x,1,0.73,0.95,0.84
Indigofera_achyranthoides,x,0,1,0.96,0.98
Indigofera_anabibensis,x,0,0.91,0.93,0.92
Indigofera_merxmuelleri,x,0,0.94,0.96,0.95
Indigofera_mooneyi,x,0,1,1,1
Indigofera_setiflora,8,0,1,1,1
Indigofera_himalayensis,8,0,1,1,1
Indigofera_hebepetala,8,0,1,1,1
Indigofera_deightonii,8,0,1,1,1
Indigofera_cylindracea,8,0,1,1,1
Indigofera_monantha,x,0,1,0.95,0.975
Indigofera_biglandulosa,8,0,1,1,1
Indigofera_ewartiana,x,0,1,0.96,0.98
Indigofera_nummulariifolia,8,0,1,1,1
Indigofera_mollis,x,0,0.93,0.92,0.925
Indigofera_jamaicensis,x,0,1,1,1
Indigofera_hermannioides,x,0,1,0.99,0.995
Indigofera_bainesii,x,0,1,0.94,0.97
Indigofera_kelleri,x,1,0.83,0.99,0.91
Indigofera_bracteolata,x,0,1,0.98,0.99
Indigofera_pendula,x,0,0.78,0.96,0.87
Indigofera_melanadenia,x,0,1,1,1
Indigofera_glandulosa_var._sykesii,8,0,1,1,1
Indigofera_burchellii,x,0,0.93,0.94,0.935
Indigofera_verruculosa,x,0,1,0.98,0.99
Indigofera_eremophila,x,0,1,0.93,0.965
Indigofera_auricoma,x,1,0.49,0.95,0.72
Indigofera_sedgewickiana,x,0,1,0.98,0.99
Indigofera_bungeana,8,0,1,1,1
Indigofera_amorphoides,8,0,1,1,1
Indigofera_tristis,x,0,1,0.98,0.99
Indigofera_ovata,x,0,0.93,0.94,0.935
Indigofera_concava,x,0,0.94,0.95,0.945
Indigofera_koreana,16,1,1,1,1
Indigofera_sokotrana,x,0,1,0.94,0.97
Indigofera_roseo_caerulea,x,0,1,0.95,0.975
Indigofera_sanguinea,x,0,1,0.94,0.97
Indigofera_decora,24,1,1,1,1
Indigofera_zeyheri,x,0,1,0.98,0.99
Indigofera_mauritanica,x,0,0.93,0.96,0.945
Indigofera_flabellata,x,0,0.94,0.92,0.93
Indigofera_rugosa,x,0,1,0.97,0.985
Indigofera_nyassica,8,0,1,1,1
Indigofera_colutea,8,0,1,1,1
Indigofera_glaucescens,x,0,1,0.95,0.975
Indigofera_superba,x,0,0.93,0.96,0.945
Indigofera_spinosa,x,0,1,0.97,0.985
Indigofera_rubroglandulosa,x,0,0.95,0.93,0.94
Indigofera_linnaei,8,0,1,1,1
Indigofera_denudata,x,0,0.94,0.96,0.95
Indigofera_hedyantha,8,0,1,1,1
Indigofera_nebrowniana,x,0,1,0.94,0.97
Indigofera_hilaris,x,0,0.95,0.95,0.95
Indigofera_leprieurii,x,0,1,0.98,0.99
Indigofera_gifbergensis,x,0,0.94,0.95,0.945
Indigofera_dendroides,x,0,1,0.96,0.98
Indigofera_praticola,x,0,1,1,1
Indigofera_glandulosa,8,0,1,1,1
Indigofera_stenophylla,x,0,1,0.98,0.99
Indigofera_neoglabra,x,0,1,0.93,0.965
Indigofera_lyallii,x,0,1,0.97,0.985
Indigofera_wightii,8,0,1,1,1
Indigofera_volkensii,8,0,1,1,1
Indigofera_erythrogramma,8,0,1,1,1
Indigofera_poliotes,x,0,0.79,0.99,0.89
Indigofera_bongensis,x,0,1,0.96,0.98
Indigofera_kirkii,x,0,1,0.94,0.97
Indigofera_tephrosioides,x,0,1,0.98,0.99
Indigofera_fulgens,x,0,0.99,0.94,0.965
Indigofera_vicioides,8,0,1,1,1
Indigofera_rhynchocarpa,8,0,1,1,1
Indigofera_nephrocarpa,x,0,0.98,0.96,0.97
Indigofera_kirilowii,8,0,1,1,1
Indigofera_frutescens,x,0,1,0.96,0.98
Indigofera_boranica,x,0,1,0.99,0.995
Indigofera_trigonelloides,8,0,1,1,1
Indigofera_hispida,x,0,0.93,0.94,0.935
Indigofera_coerulea,8,0,1,1,1
Indigofera_stachyodes,x,1,0.67,0.98,0.825
Indigofera_microcalyx,16,1,1,1,1
Indigofera_coerulea_var._occidentalis,8,0,1,1,1
Indigofera_arrecta,8,0,1,1,1
Indigofera_alternans,16,1,1,1,1
Indigofera_subcorymbosa,x,0,1,0.97,0.985
Indigofera_leptosepala,x,0,1,0.96,0.98
Indigofera_dalzellii,8,0,1,1,1
Indigofera_antunesiana,x,0,1,0.98,0.99
Indigofera_longiracemosa,x,0,1,0.97,0.985
Indigofera_haplophylla,x,0,1,0.96,0.98
Indigofera_declinata,x,0,0.94,0.95,0.945
Indigofera_nephrocarpoides,x,0,0.98,0.94,0.96
Indigofera_grata,x,0,0.79,0.98,0.885
Indigofera_hendecaphylla,x,0,1,0.99,0.995
Indigofera_hochstetteri,8,0,1,1,1
Indigofera_trachyphylla,x,0,1,0.99,0.995
Indigofera_vohemarensis,x,0,1,0.93,0.965
Indigofera_nigromontana,x,0,0.94,0.94,0.94
Indigofera_grandiflora,16,1,1,1,1
Indigofera_demissa,x,1,1,0.98,0.99
Indigofera_georgei,x,0,1,0.97,0.985
Indigofera_argentea,8,0,1,1,1
Indigofera_nigrescens,x,0,0.99,0.99,0.99
Indigofera_caroliniana,x,0,1,0.97,0.985
Indigofera_hololeuca,x,1,0.42,0.98,0.7
Indigofera_langebergensis,x,0,1,1,1
Indigofera_sutherlandoides,16,1,1,1,1
Indigofera_sulcata,x,0,0.94,0.96,0.95
Indigofera_lacei,x,0,1,0.99,0.995
Indigofera_nigritana,8,0,1,1,1
Indigofera_deccanensis,x,0,1,0.98,0.99
Indigofera_aspalathoides,8,0,1,1,1
Indigofera_alopecuroides,x,0,0.93,0.95,0.94
Indigofera_thomsonii,x,0,1,0.95,0.975
Indigofera_psoraloides,x,0,0.93,0.96,0.945
Indigofera_bongardiana,x,0,1,0.95,0.975
Indigofera_pedicellata,8,0,1,1,1
Indigofera_pungens,x,0,0.95,0.94,0.945
Indigofera_fanshawei,x,0,0.92,0.9,0.91
Indigofera_mysorensis,8,0,1,1,1
Indigofera_galegoides,x,0,1,0.95,0.975
Indigofera_gairdnerae,8,0,1,1,1
Indigofera_podocarpa,8,0,1,1,1
Indigofera_brevicalyx,8,0,1,1,1
Indigofera_nudicaulis,x,0,0.93,0.96,0.945
Indigofera_basiflora,x,0,1,0.92,0.96
Indigofera_rothii,x,0,1,0.98,0.99
Indigofera_squalida,x,0,1,0.94,0.97
Indigofera_spicata,8,0,1,1,1
Indigofera_bosseri,x,0,1,0.92,0.96
Indigofera_asperifolia,8,0,1,1,1
Indigofera_binderi,x,0,0.99,0.96,0.975
Indigofera_prostrata,8,0,1,1,1
Indigofera_longimucronata,x,NA,0.9,0.97,0.935
Indigofera_amblyantha,24,1,1,1,1
Indigofera_trita_subsp._scabra,8,0,1,1,1
Indigofera_hamiltonii,8,0,1,1,1
Indigofera_schimperi,8,0,1,1,1
Indigofera_microcarpa,8,0,1,1,1
Indigofera_amoena,x,0,0.93,0.95,0.94
Indigofera_truxillensis,x,0,1,0.97,0.985
Indigofera_thibaudiana,x,0,1,0.96,0.98
Indigofera_spiniflora,x,0,1,0.97,0.985
Indigofera_paniculata,8,0,1,1,1
Indigofera_lespedezioides,8,0,1,1,1
Indigofera_macrophylla,x,0,1,0.99,0.995
Indigofera_heterophylla,x,0,0.94,0.94,0.94
Indigofera_brachystachya,x,0,0.94,0.95,0.945
Indigofera_dimidiata,x,0,0.93,0.92,0.925
Indigofera_ammoxylum,x,NA,0.88,0.93,0.905
Indigofera_venulosa,x,1,0.93,0.99,0.96
Indigofera_strobilifera,x,0,1,0.97,0.985
Indigofera_glomerata,x,0,0.94,0.96,0.95
Indigofera_mildbraediana,8,0,1,1,1
Indigofera_podophylla,x,0,1,0.96,0.98
Indigofera_disticha,x,0,0.95,0.92,0.935
Indigofera_heterantha,16,1,1,1,1
Indigofera_byobiensis,8,0,1,1,1
Indigofera_angustifolia,x,0,0.94,0.93,0.935
Indigofera_porrecta,x,0,0.94,0.93,0.935
Indigofera_exellii,x,NA,0.76,0.96,0.86
Indigofera_caloneura,x,0,1,0.97,0.985
Indigofera_atriceps,16,1,1,1,1
Indigofera_sarmentosa,x,0,0.93,0.96,0.945
Indigofera_digitata,x,0,0.93,0.93,0.93
Indigofera_cassioides,8,0,1,1,1
Indigofera_obcordata,x,0,1,0.99,0.995
Indigofera_baumiana,x,0,0.99,0.97,0.98
Indigofera_sessiliflora,16,1,1,1,1
Indigofera_oblongifolia,8,0,1,1,1
Indigofera_arabica,8,0,1,1,1
Indigofera_platycarpa,x,0,1,0.98,0.99
Indigofera_lupatana,8,0,1,1,1
